epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,79.2117,0.89923,0.54836,1,1.3218,0.00047358,0.00047358,0.00047358
2,155.834,0.83422,0.62707,1,0.85061,0.000918566,0.000918566,0.000918566
3,232.406,0.81543,0.65097,1,0.76122,0.00133211,0.00133211,0.00133211
4,308.726,0.79058,0.68076,1,0.70445,0.00128753,0.00128753,0.00128753
5,385.056,0.75002,0.71423,1,0.65109,0.00124037,0.00124037,0.00124037
6,461.405,0.72774,0.64766,1,0.76922,0.00119322,0.00119322,0.00119322
7,537.772,0.71148,0.71313,1,0.66621,0.00114606,0.00114606,0.00114606
8,614.131,0.69155,0.74145,1,0.59025,0.0010989,0.0010989,0.0010989
9,692.818,0.68569,0.67635,1,0.67904,0.00105174,0.00105174,0.00105174
10,768.971,0.66209,0.71313,1,0.63074,0.00100459,0.00100459,0.00100459
11,845.112,0.64991,0.77381,1,0.54824,0.00095743,0.00095743,0.00095743
12,921.359,0.63249,0.76388,1,0.54787,0.000910273,0.000910273,0.000910273
13,997.502,0.63843,0.75138,1,0.56017,0.000863116,0.000863116,0.000863116
14,1073.68,0.61863,0.75211,1,0.55881,0.000815959,0.000815959,0.000815959
15,1149.96,0.61175,0.77749,1,0.53134,0.000768802,0.000768802,0.000768802
16,1226.33,0.59638,0.77161,1,0.52811,0.000721645,0.000721645,0.000721645
17,1302.48,0.59543,0.77896,1,0.51998,0.000674488,0.000674488,0.000674488
18,1378.73,0.58925,0.80875,1,0.47087,0.000627331,0.000627331,0.000627331
19,1454.97,0.57499,0.76278,1,0.53657,0.000580174,0.000580174,0.000580174
20,1531.13,0.56015,0.78411,1,0.50718,0.000533017,0.000533017,0.000533017
21,1607.73,0.56257,0.78007,1,0.50507,0.00048586,0.00048586,0.00048586
22,1683.93,0.5422,0.81574,1,0.46643,0.000438703,0.000438703,0.000438703
23,1760.17,0.53854,0.80177,1,0.4684,0.000391546,0.000391546,0.000391546
24,1836.35,0.53243,0.81096,1,0.45313,0.000344389,0.000344389,0.000344389
25,1912.56,0.52904,0.79698,1,0.46528,0.000297232,0.000297232,0.000297232
26,1988.73,0.5078,0.81353,1,0.43694,0.000250075,0.000250075,0.000250075
27,2064.93,0.50564,0.83045,1,0.42481,0.000202918,0.000202918,0.000202918
28,2141.18,0.48925,0.82788,1,0.42131,0.000155761,0.000155761,0.000155761
29,2217.35,0.48299,0.83045,1,0.42192,0.000108604,0.000108604,0.000108604
30,2293.63,0.48127,0.83008,1,0.41693,6.1447e-05,6.1447e-05,6.1447e-05
