epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,393.232,0.65888,1.65929,0.36531,0.54447,0.39225,0.40337,0.22269,0.69429,1.08634,0.61718,0.000475989,0.000475989,0.000475989
2,778.527,0.62684,0.87084,0.34008,0.45457,0.45189,0.40589,0.2365,0.54529,0.9906,0.48261,0.000920895,0.000920895,0.000920895
3,1160.1,0.64012,0.9056,0.33839,0.36459,0.46153,0.33859,0.17876,0.51553,1.15088,0.39351,0.00133436,0.00133436,0.00133436
4,1540.43,0.715,0.93787,0.38453,0.26441,0.48607,0.31042,0.1561,0.61228,1.07429,0.4788,0.00128753,0.00128753,0.00128753
5,1921.07,0.66551,0.97642,0.34325,0.34091,0.42395,0.32699,0.18423,0.54129,1.04956,0.54936,0.00124037,0.00124037,0.00124037
6,2299.91,0.6443,0.94852,0.32572,0.3421,0.48424,0.38952,0.20798,0.52649,0.97213,0.48538,0.00119322,0.00119322,0.00119322
7,2680.47,0.61052,0.94865,0.30921,0.42084,0.42958,0.38776,0.22463,0.59074,0.99356,0.56229,0.00114606,0.00114606,0.00114606
8,3061.4,0.60214,0.9404,0.30371,0.51813,0.44747,0.43652,0.23909,0.56334,0.9424,0.54843,0.0010989,0.0010989,0.0010989
9,3442.45,0.57805,0.95262,0.29388,0.45618,0.47455,0.43834,0.25214,0.5238,0.99678,0.50441,0.00105174,0.00105174,0.00105174
10,3823.82,0.56403,0.89988,0.28574,0.51651,0.55266,0.51076,0.27667,0.52045,0.87185,0.49935,0.00100459,0.00100459,0.00100459
11,4204.91,0.5586,0.88148,0.27851,0.49863,0.56069,0.53241,0.30637,0.50284,0.93389,0.47704,0.00095743,0.00095743,0.00095743
12,4586.44,0.54358,0.88284,0.26599,0.56333,0.57447,0.56673,0.31621,0.49522,0.85743,0.46635,0.000910273,0.000910273,0.000910273
13,4969.42,0.53965,0.84232,0.26219,0.6171,0.59457,0.61468,0.34245,0.52714,0.78324,0.5469,0.000863116,0.000863116,0.000863116
14,5350.61,0.52818,0.83538,0.26245,0.62491,0.55096,0.60473,0.35619,0.47617,0.86729,0.413,0.000815959,0.000815959,0.000815959
15,5734.16,0.52244,0.83119,0.24955,0.59726,0.5975,0.61489,0.34321,0.50776,0.78136,0.48685,0.000768802,0.000768802,0.000768802
16,6115.62,0.50973,0.80855,0.25443,0.68169,0.66328,0.71215,0.40234,0.50695,0.70403,0.51469,0.000721645,0.000721645,0.000721645
17,6498.34,0.51007,0.80776,0.24704,0.64252,0.63664,0.67759,0.37964,0.49451,0.74101,0.49135,0.000674488,0.000674488,0.000674488
18,6880.48,0.49964,0.78411,0.24933,0.70616,0.68406,0.74414,0.4252,0.51059,0.66065,0.54126,0.000627331,0.000627331,0.000627331
19,7261.27,0.49931,0.75785,0.24261,0.71891,0.69371,0.76068,0.42831,0.52208,0.63126,0.57582,0.000580174,0.000580174,0.000580174
20,7643.23,0.47883,0.73999,0.23543,0.74214,0.70554,0.78171,0.43349,0.50954,0.61449,0.5563,0.000533017,0.000533017,0.000533017
21,8023.24,0.38025,0.69599,0.23945,0.70625,0.67225,0.74488,0.40323,0.52496,0.66326,0.56212,0.00048586,0.00048586,0.00048586
22,8401.78,0.3815,0.67117,0.24147,0.71554,0.7231,0.76561,0.42764,0.51552,0.62137,0.54626,0.000438703,0.000438703,0.000438703
23,8781.2,0.36672,0.65053,0.23196,0.75533,0.733,0.80504,0.44817,0.51263,0.56381,0.55869,0.000391546,0.000391546,0.000391546
24,9161.19,0.36261,0.61801,0.22578,0.77679,0.74509,0.82471,0.43227,0.52879,0.55342,0.58483,0.000344389,0.000344389,0.000344389
25,9540.63,0.35231,0.60236,0.2218,0.76929,0.75715,0.83279,0.43835,0.52402,0.55641,0.57234,0.000297232,0.000297232,0.000297232
26,9927.38,0.34451,0.59462,0.21297,0.79705,0.76659,0.84561,0.46293,0.51076,0.54198,0.55808,0.000250075,0.000250075,0.000250075
27,10316.5,0.34096,0.55855,0.2122,0.7959,0.78487,0.85179,0.45599,0.51793,0.53454,0.56231,0.000202918,0.000202918,0.000202918
28,10703.5,0.32937,0.54816,0.20319,0.80748,0.78652,0.85976,0.45019,0.52723,0.53465,0.5913,0.000155761,0.000155761,0.000155761
29,11093.3,0.32532,0.53059,0.19698,0.81133,0.81047,0.87282,0.46019,0.51528,0.53759,0.56056,0.000108604,0.000108604,0.000108604
30,11485.6,0.32061,0.5237,0.19835,0.80487,0.80139,0.8702,0.46045,0.5169,0.5353,0.57008,6.1447e-05,6.1447e-05,6.1447e-05
