epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.466,1.57065,1.90331,1.52216,0.64213,0.54341,0.57528,0.2998,1.68516,2.04682,1.81555,0.000475416,0.000475416,0.000475416
2,269.683,1.58118,1.76343,1.55146,0.62829,0.58817,0.6318,0.34699,1.53531,1.53881,1.64335,0.000920341,0.000920341,0.000920341
3,384.4,1.5502,1.68402,1.53137,0.59024,0.62023,0.59018,0.33187,1.43219,1.59299,1.5571,0.00133383,0.00133383,0.00133383
4,497.868,1.50375,1.6033,1.50001,0.69699,0.6926,0.73785,0.46282,1.24893,1.20642,1.42995,0.00128753,0.00128753,0.00128753
5,611.361,1.42397,1.4922,1.44845,0.73084,0.69603,0.73665,0.46509,1.21307,1.11316,1.36822,0.00124037,0.00124037,0.00124037
6,724.76,1.37221,1.4028,1.40354,0.73814,0.72968,0.77619,0.48486,1.25011,1.05879,1.41206,0.00119322,0.00119322,0.00119322
7,837.922,1.33865,1.35522,1.37987,0.73944,0.71894,0.79012,0.55008,1.10958,1.00254,1.32207,0.00114606,0.00114606,0.00114606
8,951.089,1.30735,1.31096,1.35616,0.78083,0.75056,0.82128,0.52302,1.2313,0.98492,1.35736,0.0010989,0.0010989,0.0010989
9,1066.15,1.27238,1.2559,1.34741,0.76542,0.75386,0.82032,0.55702,1.11015,0.92027,1.2911,0.00105174,0.00105174,0.00105174
10,1179.94,1.24328,1.19878,1.3285,0.79085,0.77984,0.84295,0.55669,1.23536,0.89642,1.40347,0.00100459,0.00100459,0.00100459
11,1293.23,1.20808,1.16457,1.30554,0.77412,0.78017,0.84185,0.62401,0.93722,0.82816,1.20162,0.00095743,0.00095743,0.00095743
12,1406.74,1.19382,1.143,1.29716,0.8052,0.76001,0.83824,0.59759,1.00653,0.86373,1.24434,0.000910273,0.000910273,0.000910273
13,1519.89,1.1926,1.12939,1.28791,0.81797,0.77194,0.85724,0.60212,1.02925,0.80072,1.24584,0.000863116,0.000863116,0.000863116
14,1633.05,1.16964,1.08968,1.2781,0.81366,0.79116,0.86662,0.60872,1.06194,0.78135,1.27094,0.000815959,0.000815959,0.000815959
15,1746.26,1.15067,1.08125,1.2615,0.83164,0.78873,0.87421,0.64026,0.94179,0.76818,1.20128,0.000768802,0.000768802,0.000768802
16,1859.41,1.1236,1.04924,1.25192,0.8115,0.79797,0.86799,0.64473,0.89622,0.72394,1.15521,0.000721645,0.000721645,0.000721645
17,1972.91,1.10205,1.01446,1.23397,0.81795,0.81231,0.87317,0.64646,0.91633,0.73636,1.16861,0.000674488,0.000674488,0.000674488
18,2086.14,1.08251,0.99758,1.22671,0.83538,0.79652,0.88142,0.66232,0.86899,0.701,1.13495,0.000627331,0.000627331,0.000627331
19,2199.46,1.08517,0.99503,1.22506,0.83411,0.83018,0.89187,0.67529,0.86647,0.65847,1.14118,0.000580174,0.000580174,0.000580174
20,2312.72,1.06465,0.96478,1.21368,0.84936,0.80454,0.88696,0.66812,0.88912,0.69615,1.15478,0.000533017,0.000533017,0.000533017
21,2426.21,0.89429,0.76805,1.13423,0.84303,0.81843,0.89175,0.68299,0.86646,0.66037,1.15173,0.00048586,0.00048586,0.00048586
22,2539.29,0.88327,0.74741,1.13358,0.83154,0.81081,0.8876,0.67302,0.86738,0.67147,1.13756,0.000438703,0.000438703,0.000438703
23,2652.3,0.85207,0.71863,1.11558,0.85901,0.82584,0.90751,0.70821,0.79462,0.60986,1.09342,0.000391546,0.000391546,0.000391546
24,2765.34,0.83058,0.6892,1.10491,0.85375,0.80666,0.89801,0.69688,0.78689,0.62519,1.09547,0.000344389,0.000344389,0.000344389
25,2878.4,0.8283,0.68334,1.10209,0.85693,0.81985,0.91044,0.72101,0.74974,0.59802,1.05812,0.000297232,0.000297232,0.000297232
26,2991.45,0.78831,0.65697,1.07211,0.85645,0.83736,0.91209,0.7273,0.74888,0.56804,1.05827,0.000250075,0.000250075,0.000250075
27,3106.31,0.77727,0.62876,1.06796,0.87894,0.84007,0.9243,0.72739,0.77767,0.55495,1.06854,0.000202918,0.000202918,0.000202918
28,3219.62,0.75592,0.59956,1.0564,0.87532,0.84749,0.91976,0.7359,0.74873,0.54743,1.05174,0.000155761,0.000155761,0.000155761
29,3332.86,0.73748,0.58555,1.04538,0.86091,0.85796,0.92656,0.74674,0.72596,0.54032,1.04193,0.000108604,0.000108604,0.000108604
30,3446.03,0.72246,0.56537,1.03371,0.87763,0.86076,0.92991,0.7533,0.70501,0.51463,1.02777,6.1447e-05,6.1447e-05,6.1447e-05
